Team,Active Players,Age,Pos.,Status,Base Salary,Payroll %,Country
Arizona Diamondbacks,Madison Bumgarner,31,SP,Vet,"$19,000,000",15.35,
Arizona Diamondbacks,Kole Calhoun,33,RF,Vet,"$8,000,000",8.77,
Arizona Diamondbacks,David Peralta,33,LF,Vet,"$7,500,000",8.22,Venezuela
Arizona Diamondbacks,Ketel Marte,27,CF,Arb 3,"$6,000,000",6.58,Dominican Republic
Arizona Diamondbacks,Merrill Kelly,32,SP,Pre-Arb,"$4,250,000",4.66,
Arizona Diamondbacks,Luke Weaver,27,SP,Arb 1,"$1,950,000",2.14,
Arizona Diamondbacks,Tyler Clippard,36,RP,Vet,"$1,750,000",1.92,
Arizona Diamondbacks,Carson Kelly,26,C,Arb 1,"$1,700,000",1.86,
Arizona Diamondbacks,Caleb Smith,29,SP,Arb 1,"$1,386,240",1.52,
Arizona Diamondbacks,Christian Walker,30,1B,Pre-Arb,"$619,300",0.68,
Arizona Diamondbacks,Zac Gallen,25,SP,Pre-Arb,"$607,500",0.67,
Arizona Diamondbacks,Pavin Smith,25,RF,Pre-Arb,"$586,600",0.64,
Arizona Diamondbacks,Josh Rojas,27,SS,Pre-Arb,"$582,400",0.64,
Arizona Diamondbacks,J.B. Wendelken,28,RP,Pre-Arb,"$580,500",0.64,
Arizona Diamondbacks,Taylor Widener,26,SP,Pre-Arb,"$583,400",0.61,
Arizona Diamondbacks,Josh VanMeter,26,2B,Pre-Arb,"$583,400",0.54,
Arizona Diamondbacks,Joe Mantiply,30,RP,Pre-Arb,"$570,500",0.47,
Arizona Diamondbacks,Daulton Varsho,24,CF,Pre-Arb,"$570,500",0.44,
Arizona Diamondbacks,Noe Ramirez,31,RP,Arb 1,"$570,500",0.36,
Arizona Diamondbacks,Brett de Geus,23,RP,Pre-Arb,"$570,500",0.33,
Arizona Diamondbacks,Humberto Castellanos,23,RP,Pre-Arb,"$570,500",0.24,Mexico
Arizona Diamondbacks,Sean Poppen,27,RP,Pre-Arb,"$570,500",0.16,
Arizona Diamondbacks,Jake McCarthy,23,OF,Pre-Arb,"$570,500",0.12,
Arizona Diamondbacks,Ildemaro Vargas,29,2B,Pre-Arb,"$570,500",0.10,Venezuela
Arizona Diamondbacks,Henry Ramos,29,OF,Pre-Arb,"$570,500",0.09,Puerto Rico
Arizona Diamondbacks,Humberto Mejia,24,SP,Pre-Arb,"$570,500",0.07,Panama
Arizona Diamondbacks,Luis Frias,23,SP,Pre-Arb,"$570,500",0.05,Dominican Republic
Arizona Diamondbacks,Geraldo Perdomo,21,SS,Pre-Arb,"$570,500",0.05,Dominican Republic
Atlanta Braves,Freddie Freeman,31,1B,Vet,"$22,000,000",14.64,
Atlanta Braves,Charlie Morton,37,SP,Vet,"$15,000,000",9.80,
Atlanta Braves,Will Smith,31,RP,Vet,"$13,000,000",8.49,
Atlanta Braves,Drew Smyly,32,SP,Vet,"$11,000,000",7.19,
Atlanta Braves,Travis d'Arnaud,32,C,Vet,"$8,000,000",5.23,
Atlanta Braves,Chris Martin,35,RP,Arb 1,"$7,000,000",4.57,
Atlanta Braves,Dansby Swanson,27,SS,Arb 2,"$6,000,000",3.92,
Atlanta Braves,Ronald Acuna Jr.,23,RF,Arb 1,"$5,000,000",3.27,Venezuela
Atlanta Braves,Max Fried,27,SP,Arb 1,"$3,500,000",2.29,
Atlanta Braves,Ozzie Albies,24,2B,Arb 1,"$3,000,000",1.96,Curacao
Atlanta Braves,Jorge Soler,29,DH,Arb 2,"$8,050,000",1.84,Cuba
Atlanta Braves,Michael Soroka,23,SP,Arb 1,"$2,800,000",1.83,
Atlanta Braves,Eddie Rosario,29,LF,Arb 3,"$8,000,000",1.83,
Atlanta Braves,Joc Pederson,29,LF,Vet,"$4,500,000",1.26,
Atlanta Braves,Luke Jackson,29,RP,Arb 2,"$1,900,000",1.24,
Atlanta Braves,Ehire Adrianza,31,SS,Vet,"$1,500,000",0.98,Dominican Republic
Atlanta Braves,A.J. Minter,27,RP,Arb 1,"$1,300,000",0.85,
Atlanta Braves,Guillermo Heredia,30,CF,Arb 2,"$1,000,000",0.65,Cuba
Atlanta Braves,Grant Dayton,33,RP,Arb 2,"$900,000",0.59,
Atlanta Braves,Adam Duvall,32,RF,Arb 3,"$2,000,000",0.46,
Atlanta Braves,Tyler Matzek,30,RP,Pre-Arb,"$600,500",0.39,
Atlanta Braves,Richard Rodriguez,31,RP/CL,Arb 1,"$1,700,000",0.39,Dominican Republic
Atlanta Braves,Austin Riley,24,3B,Pre-Arb,"$590,500",0.39,
Atlanta Braves,Huascar Ynoa,23,RP,Pre-Arb,"$580,500",0.38,Dominican Republic
Atlanta Braves,Ian Anderson,23,SP,Pre-Arb,"$575,500",0.38,
Atlanta Braves,Jesse Chavez,37,RP,Vet,"$570,500",0.20,
Atlanta Braves,Orlando Arcia,26,SS,Arb 2,"$2,000,000",0.19,Venezuela
Atlanta Braves,William Contreras,23,C,Pre-Arb,"$570,500",0.19,Venezuela
Atlanta Braves,Jacob Webb,27,RP,Pre-Arb,"$570,500",0.17,
Atlanta Braves,Dylan Lee,26,P,Pre-Arb,"$570,500",0.01,
Atlanta Braves,Spencer Strider,22,P,Pre-Arb,"$570,500",0.00,
Baltimore Orioles,Trey Mancini,29,DH,Arb 2,"$4,750,000",11.20,
Baltimore Orioles,Pedro Severino,27,C,Arb 1,"$1,825,000",4.30,Dominican Republic
Baltimore Orioles,Pat Valaika,28,SS,Arb 1,"$875,000",1.43,
Baltimore Orioles,John Means,28,SP,Pre-Arb,"$593,500",1.40,
Baltimore Orioles,Austin Hays,25,LF,Pre-Arb,"$578,500",1.36,
Baltimore Orioles,Cedric Mullins,26,CF,Pre-Arb,"$577,000",1.36,
Baltimore Orioles,Ryan Mountcastle,24,1B,Pre-Arb,"$574,500",1.35,
Baltimore Orioles,Dillon Tate,27,RP,Pre-Arb,"$574,500",1.35,
Baltimore Orioles,Cole Sulser,31,RP,Pre-Arb,"$574,500",1.27,
Baltimore Orioles,Bruce Zimmermann,26,SP,Pre-Arb,"$571,500",1.25,
Baltimore Orioles,Ryan McKenna,24,CF,Pre-Arb,"$570,500",0.91,
Baltimore Orioles,Austin Wynns,30,C,Pre-Arb,"$570,500",0.90,
Baltimore Orioles,Richie Martin,26,SS,Pre-Arb,"$570,500",0.78,
Baltimore Orioles,Spenser Watkins,28,SP,Pre-Arb,"$570,500",0.56,
Baltimore Orioles,Marcos Diplan,24,RP,Pre-Arb,"$570,500",0.42,Dominican Republic
Baltimore Orioles,Thomas Eshelman,27,SP,Pre-Arb,"$570,500",0.41,
Baltimore Orioles,Kelvin Gutierrez,26,3B,Pre-Arb,"$570,500",0.40,Dominican Republic
Baltimore Orioles,Fernando Abad,35,RP,Vet,"$570,500",0.35,Dominican Republic
Baltimore Orioles,Conner Greene,26,RP,Pre-Arb,"$570,500",0.30,
Baltimore Orioles,Zac Lowther,25,SP,Pre-Arb,"$570,500",0.27,
Baltimore Orioles,Jahmai Jones,23,2B,Pre-Arb,"$570,500",0.26,
Baltimore Orioles,Konner Wade,29,RP,Pre-Arb,"$570,500",0.17,
Baltimore Orioles,Eric Hanhold,27,P,Pre-Arb,"$570,500",0.15,
