Team,Active Players,Age,Pos.,Status,Base Salary,Payroll %,Country
Baltimore Orioles,Isaac Mattson,25,RP,Pre-Arb,"$570,500",0.12,
Baltimore Orioles,Brooks Kriske,27,RP,Pre-Arb,"$570,500",0.11,
Baltimore Orioles,Joey Krehbiel,28,RP,Pre-Arb,"$570,500",0.07,
Baltimore Orioles,Tyler Nevin,24,1B,Pre-Arb,"$570,500",0.07,United States
Baltimore Orioles,Nick Ciuffo,26,C,Pre-Arb,"$570,500",0.07,United States
Boston Red Sox,Chris Sale,32,SP,Vet,"$30,000,000",10.69,
Boston Red Sox,Xander Bogaerts,28,SS,Vet,"$20,000,000",10.69,Aruba
Boston Red Sox,J.D. Martinez,33,DH,Vet,"$19,350,000",10.34,
Boston Red Sox,Nathan Eovaldi,31,SP,Vet,"$17,000,000",9.09,
Boston Red Sox,Garrett Richards,33,RP,Vet,"$8,500,000",5.08,
Boston Red Sox,Eduardo Rodriguez,28,SP,Arb 4,"$8,300,000",4.44,Venezuela
Boston Red Sox,Adam Ottavino,35,RP,Vet,"$7,150,000",3.86,
Boston Red Sox,Christian Vazquez,30,C,Vet,"$6,250,000",3.34,
Boston Red Sox,Rafael Devers,24,3B,Arb 1,"$4,575,000",2.45,Dominican Republic
Boston Red Sox,Enrique Hernandez,29,2B,Vet,"$6,000,000",2.41,
Boston Red Sox,Matt Barnes,31,RP,Arb 3,"$4,500,000",2.41,
Boston Red Sox,Martin Perez,30,RP,Vet,"$4,500,000",2.41,Venezuela
Boston Red Sox,Hunter Renfroe,29,RF,Arb 2,"$3,100,000",1.98,
Boston Red Sox,Kyle Schwarber,28,LF,Vet,"$7,000,000",1.31,
Boston Red Sox,Kevin Plawecki,30,C,Arb 3,"$1,600,000",0.86,
Boston Red Sox,Hirokazu Sawamura,33,RP,Pre-Arb,"$1,200,000",0.86,Japan
Boston Red Sox,Ryan Brasier,33,RP,Arb 1,"$1,250,000",0.67,
Boston Red Sox,Hansel Robles,30,RP/CL,Arb 4,"$2,000,000",0.37,Dominican Republic
Boston Red Sox,Alex Verdugo,25,CF,Pre-Arb,"$649,500",0.35,
Boston Red Sox,Nick Pivetta,28,SP,Pre-Arb,"$613,500",0.33,
Boston Red Sox,Christian Arroyo,26,SS,Pre-Arb,"$581,500",0.31,
Boston Red Sox,Darwinzon Hernandez,24,RP,Pre-Arb,"$578,500",0.31,Venezuela
Boston Red Sox,Bobby Dalbec,26,1B,Pre-Arb,"$575,000",0.31,
Boston Red Sox,Garrett Whitlock,25,RP,Pre-Arb,"$570,500",0.30,
Boston Red Sox,Travis Shaw,31,1B,Arb 3,"$1,500,000",0.21,
Boston Red Sox,Austin Davis,28,RP,Pre-Arb,"$588,000",0.11,
Boston Red Sox,Tanner Houck,25,SP,Pre-Arb,"$577,000",0.10,
Boston Red Sox,Jose Iglesias,31,SS,Vet,"$570,500",0.04,Cuba
Chicago Cubs,Kyle Hendricks,31,SP,Vet,"$14,000,000",9.68,
Chicago Cubs,Zach Davies,28,SP,Arb 3,"$8,630,000",5.97,
Chicago Cubs,Ian Happ,26,CF,Arb 1,"$4,100,000",2.84,
Chicago Cubs,Matt Duffy,30,3B,Vet,"$1,000,000",0.69,
Chicago Cubs,Rex Brothers,33,RP,Arb 3,"$850,000",0.59,
Chicago Cubs,Alec Mills,29,SP,Pre-Arb,"$600,000",0.41,
Chicago Cubs,Rowan Wick,28,RP,Pre-Arb,"$593,000",0.41,
Chicago Cubs,Trayce Thompson,30,CF,Pre-Arb,"$570,500",0.39,United States
Chicago Cubs,Adbert Alzolay,26,SP,Pre-Arb,"$573,000",0.37,Venezuela
Chicago Cubs,Adam Morgan,31,RP,Arb 3,"$900,000",0.32,
Chicago Cubs,Justin Steele,25,SP,Pre-Arb,"$570,500",0.28,
Chicago Cubs,Rafael Ortega,30,LF,Pre-Arb,"$570,500",0.28,Venezuela
Chicago Cubs,Sergio Alcantara,24,2B,Pre-Arb,"$570,500",0.25,Dominican Republic
Chicago Cubs,Trevor Megill,27,RP,Pre-Arb,"$570,500",0.23,
Chicago Cubs,Codi Heuer,24,RP,Pre-Arb,"$585,000",0.14,
Chicago Cubs,Frank Schwindel,29,1B,Pre-Arb,"$570,500",0.14,
Chicago Cubs,Michael Rucker,27,RP,Pre-Arb,"$570,500",0.14,
Chicago Cubs,Adrian Sampson,29,RP,Pre-Arb,"$570,500",0.10,
Chicago Cubs,Scott Effross,27,P,Pre-Arb,"$570,500",0.08,
Chicago Cubs,Johneshwy Fargas,26,OF,Pre-Arb,"$570,500",0.05,
Chicago Cubs,Greg Deichmann,26,OF,Pre-Arb,"$570,500",0.04,
Chicago Cubs,Cory Abbott,25,SP,Pre-Arb,"$570,500",0.03,
Chicago Cubs,Jason Adam,29,RP,Pre-Arb,"$592,500",0.01,United States
Chicago Cubs,Trent Giambrone,27,2B,Pre-Arb,"$570,500",0.01,
Chicago Cubs,Erick Castillo,28,C,Pre-Arb,"$570,500",0.01,Venezuela
Chicago Cubs,Joseph Biagini,31,RP,Arb 3,"$570,500",0.00,
Chicago Cubs,Tyler Ladendorf,33,2B,Arb 3,"$570,500",0.00,
Chicago Cubs,Tyler Payne,28,C,Pre-Arb,"$570,500",0.00,
Chicago White Sox,Yasmani Grandal,32,C,Vet,"$18,250,000",12.95,
Chicago White Sox,Dallas Keuchel,33,SP,Vet,"$18,000,000",12.77,
Chicago White Sox,Jose Abreu,34,1B,Vet,"$16,000,000",12.54,Cuba
Chicago White Sox,Liam Hendriks,32,RP/CL,Vet,"$11,000,000",8.04,Australia
Chicago White Sox,Lance Lynn,34,SP,Vet,"$8,000,000",6.62,
Chicago White Sox,Tim Anderson,28,SS,Pre-Arb,"$7,250,000",5.14,
Chicago White Sox,Yoan Moncada,26,3B,Arb 1,"$6,000,000",4.83,Cuba
Chicago White Sox,Craig Kimbrel,33,RP,Vet,"$16,000,000",3.97,
Chicago White Sox,Eloy Jimenez,24,DH,Arb 1,"$3,500,000",3.07,Dominican Republic
Chicago White Sox,Lucas Giolito,26,SP,Arb 1,"$4,150,000",2.94,
Chicago White Sox,Leury Garcia,30,OF,Vet,"$3,500,000",2.48,Dominican Republic
Chicago White Sox,Luis Robert,23,CF,Pre-Arb,"$3,500,000",2.48,Cuba
Chicago White Sox,Carlos Rodon,28,SP,Arb 4,"$3,000,000",2.13,
Chicago White Sox,Reynaldo Lopez,27,RP,Arb 1,"$2,100,000",1.49,Dominican Republic
Chicago White Sox,Aaron Bummer,27,RP,Pre-Arb,"$2,000,000",1.42,
Chicago White Sox,Cesar Hernandez,31,2B,Vet,"$5,000,000",1.24,Venezuela
Chicago White Sox,Adam Engel,29,LF,Arb 1,"$1,375,000",0.98,
Chicago White Sox,Billy Hamilton,30,CF,Vet,"$1,250,000",0.89,
Chicago White Sox,Dylan Cease,25,SP,Pre-Arb,"$600,000",0.43,
Chicago White Sox,Jose Ruiz,26,RP,Pre-Arb,"$575,000",0.41,Venezuela
Chicago White Sox,Garrett Crochet,22,RP,Pre-Arb,"$572,000",0.41,
Chicago White Sox,Michael Kopech,25,RP,Pre-Arb,"$570,500",0.40,
Chicago White Sox,Andrew Vaughn,23,LF,Pre-Arb,"$570,500",0.40,
Chicago White Sox,Zack Collins,26,C,Pre-Arb,"$575,000",0.37,
Chicago White Sox,Matt Foster,26,RP,Pre-Arb,"$585,000",0.29,
Chicago White Sox,Ryan Burr,27,RP,Pre-Arb,"$570,500",0.22,
Chicago White Sox,Ryan Tepera,33,RP,Vet,"$800,000",0.20,
Chicago White Sox,Gavin Sheets,25,1B,Pre-Arb,"$570,500",0.17,
Cincinnati Reds,Joey Votto,37,1B,Vet,"$25,000,000",19.86,
Cincinnati Reds,Nick Castellanos,29,RF,Vet,"$14,000,000",11.00,
Cincinnati Reds,Eugenio Suarez,29,3B,Vet,"$10,500,000",8.57,Venezuela
Cincinnati Reds,Sonny Gray,31,SP,Vet,"$10,000,000",8.08,
Cincinnati Reds,Michael Lorenzen,29,SP,Arb 4,"$4,437,500",3.52,
Cincinnati Reds,Luis Castillo,28,SP,Arb 1,"$4,200,000",3.34,Dominican Republic
Cincinnati Reds,Tucker Barnhart,30,C,Vet,"$3,750,000",3.33,
Cincinnati Reds,Tyler Mahle,26,SP,Arb 1,"$2,200,000",1.75,
Cincinnati Reds,Amir Garrett,29,RP,Arb 1,"$1,500,000",1.19,
Cincinnati Reds,Mychal Givens,31,RP,Arb 3,"$4,050,000",1.16,
Cincinnati Reds,Justin Wilson,33,RP,Vet,"$2,850,000",0.80,
Cincinnati Reds,Kyle Farmer,30,SS,Pre-Arb,"$640,000",0.51,
Cincinnati Reds,Lucas Sims,27,RP/CL,Pre-Arb,"$598,500",0.48,
Cincinnati Reds,Jeff Hoffman,28,SP,Pre-Arb,"$585,500",0.47,
Cincinnati Reds,Aristides Aquino,27,RF,Pre-Arb,"$579,000",0.46,Dominican Republic
Cincinnati Reds,Jonathan India,24,3B,Pre-Arb,"$570,500",0.45,
Cincinnati Reds,Tyler Stephenson,24,C,Pre-Arb,"$570,500",0.45,
Cincinnati Reds,Vladimir Gutierrez,25,SP,Pre-Arb,"$570,500",0.31,Cuba
Cincinnati Reds,Luis Cessa,29,RP,Arb 1,"$1,050,000",0.30,Mexico
Cincinnati Reds,Art Warren,28,RP,Pre-Arb,"$570,500",0.29,
Cincinnati Reds,Asdrubal Cabrera,35,2B,Vet,"$1,750,000",0.28,Venezuela
Cincinnati Reds,Tony Santillan,24,SP,Pre-Arb,"$570,500",0.21,
Cincinnati Reds,Max Schrock,26,SS,Pre-Arb,"$570,500",0.19,
Cincinnati Reds,Jose Barrero,23,SS,Pre-Arb,"$570,500",0.09,Cuba
Cincinnati Reds,Delino DeShields,28,CF,Arb 3,"$570,500",0.08,
Cincinnati Reds,T.J. Friedl,25,OF,Pre-Arb,"$570,500",0.04,
Cincinnati Reds,Dauri Moreta,25,RP,Pre-Arb,"$570,500",0.03,Dominican Republic
Cincinnati Reds,Reiver Sanmartin,25,SP,Pre-Arb,"$570,500",0.01,Colombia
Cleveland Guardians,Jose Ramirez,28,3B,Vet,"$9,000,000",18.55,Dominican Republic
Cleveland Guardians,Roberto Perez,32,C,Vet,"$5,500,000",10.85,
Cleveland Guardians,Austin Hedges,28,C,Arb 3,"$3,280,000",6.47,
Cleveland Guardians,Bryan Shaw,33,RP,Vet,"$1,000,000",4.84,
Cleveland Guardians,Amed Rosario,25,SS,Arb 1,"$2,400,000",4.74,Dominican Republic
Cleveland Guardians,Nick Wittgren,30,RP,Arb 2,"$2,000,000",3.95,
Cleveland Guardians,Blake Parker,36,RP,Vet,"$2,500,000",3.18,
Cleveland Guardians,Shane Bieber,26,SP,Pre-Arb,"$679,700",1.34,
Cleveland Guardians,Franmil Reyes,25,DH,Pre-Arb,"$602,400",1.19,Dominican Republic
Cleveland Guardians,Zach Plesac,26,SP,Pre-Arb,"$590,200",1.16,
Cleveland Guardians,Aaron Civale,26,SP,Pre-Arb,"$587,400",1.16,
Cleveland Guardians,Cal Quantrill,26,SP,Pre-Arb,"$586,200",1.16,
Cleveland Guardians,Emmanuel Clase,23,RP/CL,Pre-Arb,"$571,800",1.13,Dominican Republic
Cleveland Guardians,Trevor Stephan,25,RP,Pre-Arb,"$570,500",1.13,
Cleveland Guardians,Harold Ramirez,26,RF,Pre-Arb,"$587,000",0.95,Colombia
Cleveland Guardians,Sam Hentges,24,RP,Pre-Arb,"$570,500",0.95,
Cleveland Guardians,Yu-Cheng Chang,25,SS,Pre-Arb,"$571,100",0.95,Taiwan
Cleveland Guardians,James Karinchak,25,RP,Pre-Arb,"$585,000",0.94,
Cleveland Guardians,Triston McKenzie,23,SP,Pre-Arb,"$575,300",0.86,
Cleveland Guardians,Bradley Zimmer,28,CF,Pre-Arb,"$576,700",0.79,
Cleveland Guardians,Bobby Bradley,25,1B,Pre-Arb,"$570,500",0.73,
Cleveland Guardians,Eli Morgan,25,SP,Pre-Arb,"$570,500",0.65,
Cleveland Guardians,Andres Gimenez,22,SS,Pre-Arb,"$577,100",0.64,Venezuela
Cleveland Guardians,Oscar Mercado,26,OF,Pre-Arb,"$570,500",0.59,
Cleveland Guardians,Justin Garza,27,RP,Pre-Arb,"$570,500",0.56,
Cleveland Guardians,Logan Allen,24,SP,Pre-Arb,"$571,500",0.48,
Cleveland Guardians,Myles Straw,26,CF,Pre-Arb,"$590,400",0.41,
Cleveland Guardians,Anthony Gose,30,RP,Pre-Arb,"$570,500",0.08,
Colorado Rockies,Charlie Blackmon,35,RF,Vet,"$21,000,000",18.33,
Colorado Rockies,Trevor Story,28,SS,Arb 3,"$17,500,000",15.89,
Colorado Rockies,German Marquez,26,SP,Arb 2,"$7,500,000",6.70,Venezuela
Colorado Rockies,Jon Gray,29,SP,Arb 3,"$6,000,000",5.15,
Colorado Rockies,Kyle Freeland,28,SP,Arb 2,"$5,025,000",4.32,
Colorado Rockies,Antonio Senzatela,26,SP,Arb 1,"$3,000,000",2.58,Venezuela
Colorado Rockies,Daniel Bard,36,RP/CL,Arb 2,"$2,925,000",2.51,
Colorado Rockies,Ryan McMahon,26,2B,Arb 1,"$2,375,000",2.04,
Colorado Rockies,Raimel Tapia,27,LF,Arb 1,"$1,950,000",1.68,Dominican Republic
Colorado Rockies,Carlos Estevez,28,RP,Arb 2,"$1,450,000",1.25,Dominican Republic
Colorado Rockies,Elias Diaz,30,C,Arb 2,"$1,200,000",1.12,Venezuela
Colorado Rockies,Jhoulys Chacin,33,RP,Vet,"$1,000,000",0.86,Venezuela
Colorado Rockies,C.J. Cron,31,1B,Vet,"$1,000,000",0.86,
Colorado Rockies,Robert Stephenson,28,RP,Arb 1,"$805,000",0.69,
Colorado Rockies,Garrett Hampson,26,2B,Pre-Arb,"$580,500",0.50,
Colorado Rockies,Tyler Kinley,30,RP,Pre-Arb,"$580,500",0.50,
Colorado Rockies,Yency Almonte,27,RP,Pre-Arb,"$575,500",0.49,
Colorado Rockies,Brendan Rodgers,24,SS,Pre-Arb,"$575,500",0.49,
Colorado Rockies,Yonathan Daza,27,RF,Pre-Arb,"$572,500",0.49,Venezuela
Colorado Rockies,Dom Nunez,26,C,Pre-Arb,"$572,500",0.49,
Colorado Rockies,Jordan Sheffield,26,RP,Pre-Arb,"$570,500",0.49,
Colorado Rockies,Lucas Gilbreath,25,SP,Pre-Arb,"$570,500",0.39,
Colorado Rockies,Sam Hilliard,27,OF,Pre-Arb,"$575,500",0.29,
Colorado Rockies,Justin Lawrence,26,RP,Pre-Arb,"$570,500",0.17,
Colorado Rockies,Ashton Goudeau,28,SP,Pre-Arb,"$570,500",0.14,
Colorado Rockies,Julian Fernández,25,RP,Pre-Arb,"$570,500",0.08,Dominican Republic
Colorado Rockies,Antonio Santos,24,SP,Pre-Arb,"$570,500",0.07,Dominican Republic
Colorado Rockies,Colton Welker,23,3B,Pre-Arb,"$570,500",0.07,United States
Detroit Tigers,Miguel Cabrera,38,DH,Vet,"$30,000,000",34.74,Venezuela
Detroit Tigers,Robbie Grossman,31,LF,Vet,"$5,000,000",6.37,
Detroit Tigers,Jonathan Schoop,29,2B,Vet,"$4,500,000",5.21,Curacao
Detroit Tigers,Jose Urena,29,SP,Vet,"$3,250,000",4.00,Dominican Republic
Detroit Tigers,Michael Fulmer,28,RP,Arb 3,"$3,100,000",3.59,
Detroit Tigers,Jeimer Candelario,27,1B,Arb 1,"$2,850,000",3.30,Dominican Republic
Detroit Tigers,Niko Goodrum,29,2B,Arb 1,"$2,100,000",2.43,
Detroit Tigers,Joe Jimenez,26,RP,Arb 1,"$1,500,000",1.74,Puerto Rico
Detroit Tigers,Derek Holland,34,RP,Vet,"$925,000",1.07,
Detroit Tigers,Wily Peralta,32,SP,Vet,"$1,500,000",1.03,Dominican Republic
Detroit Tigers,Harold Castro,27,3B,Pre-Arb,"$581,700",0.67,Venezuela
Detroit Tigers,Tyler Alexander,26,SP,Pre-Arb,"$578,800",0.67,
Detroit Tigers,Tarik Skubal,24,SP,Pre-Arb,"$574,300",0.67,
Detroit Tigers,Casey Mize,24,SP,Pre-Arb,"$574,100",0.66,
Detroit Tigers,Akil Baddoo,22,OF,Pre-Arb,"$570,500",0.66,
Detroit Tigers,Willi Castro,24,SS,Pre-Arb,"$578,500",0.65,Puerto Rico
Detroit Tigers,Kyle Funkhouser,27,RP,Pre-Arb,"$570,500",0.53,
Detroit Tigers,Eric Haase,28,C,Pre-Arb,"$570,500",0.51,
Detroit Tigers,Bryan Garcia,26,RP,Pre-Arb,"$576,600",0.43,
Detroit Tigers,Matt Manning,23,SP,Pre-Arb,"$570,500",0.35,
Detroit Tigers,Daz Cameron,24,OF,Pre-Arb,"$570,500",0.34,United States
Detroit Tigers,Alex Lange,25,RP,Pre-Arb,"$570,500",0.32,
Detroit Tigers,Zack Short,26,2B,Pre-Arb,"$570,500",0.31,
Detroit Tigers,Ian Krol,30,RP,Arb 1,"$570,500",0.26,United States
Detroit Tigers,Isaac Paredes,22,3B,Pre-Arb,"$570,500",0.22,Mexico
Detroit Tigers,Dustin Garneau,33,C,Pre-Arb,"$570,500",0.16,
Detroit Tigers,Drew Hutchison,30,SP,Arb 2,"$570,500",0.12,
Detroit Tigers,Jason Foley,25,RP,Pre-Arb,"$570,500",0.11,
Houston Astros,Jose Altuve,31,2B,Vet,"$26,000,000",14.91,Venezuela
Houston Astros,Zack Greinke,37,SP,Vet,"$32,000,000",12.68,
Houston Astros,Michael Brantley,34,LF,Vet,"$16,000,000",8.23,
Houston Astros,Alex Bregman,27,3B,Arb 2,"$11,000,000",6.51,
Houston Astros,Carlos Correa,26,SS,Arb 3,"$11,700,000",6.02,
Houston Astros,Jake Odorizzi,31,SP,Vet,"$6,000,000",4.63,
Houston Astros,Ryan Pressly,32,RP/CL,Vet,"$8,750,000",4.50,
Houston Astros,Yulieski Gurriel,37,1B,Pre-Arb,"$6,500,000",4.37,Cuba
Houston Astros,Lance McCullers,27,SP,Arb 4,"$6,500,000",3.64,
Houston Astros,Martin Maldonado,34,C,Vet,"$3,500,000",1.80,
Houston Astros,Jason Castro,34,C,Vet,"$2,500,000",1.80,
Houston Astros,Aledmys Diaz,30,SS,Arb 2,"$3,000,000",1.54,Cuba
Houston Astros,Brooks Raley,33,RP,Pre-Arb,"$2,000,000",1.03,
Houston Astros,Ryne Stanek,29,RP,Arb 1,"$1,100,000",0.57,
Houston Astros,Yimi Garcia,30,RP,Arb 4,"$1,900,000",0.35,Dominican Republic
Houston Astros,Framber Valdez,27,SP,Pre-Arb,"$637,300",0.33,Dominican Republic
Houston Astros,Kyle Tucker,24,RF,Pre-Arb,"$624,300",0.32,
Houston Astros,Yordan Alvarez,24,DH,Pre-Arb,"$609,000",0.31,Cuba
Houston Astros,Jose Urquidy,26,SP,Pre-Arb,"$604,200",0.31,Mexico
Houston Astros,Blake Taylor,25,RP,Pre-Arb,"$599,100",0.31,
Houston Astros,Cristian Javier,24,SP,Pre-Arb,"$620,400",0.30,Dominican Republic
Houston Astros,Luis Garcia,24,RP,Pre-Arb,"$580,100",0.30,Venezuela
Houston Astros,Chas McCormick,26,OF,Pre-Arb,"$570,500",0.29,
Houston Astros,Kendall Graveman,30,RP,Arb 3,"$1,250,000",0.23,
Houston Astros,Phil Maton,28,RP,Arb 1,"$975,000",0.18,
Houston Astros,Jake Meyers,25,OF,Pre-Arb,"$570,500",0.10,
Houston Astros,Jose Siri,25,CF,Pre-Arb,"$570,500",0.05,Dominican Republic
Houston Astros,Marwin Gonzalez,32,3B,Vet,"$570,500",0.04,Venezuela
Kansas City Royals,Salvador Perez,31,C,Vet,"$13,000,000",15.50,Venezuela
Kansas City Royals,Whit Merrifield,32,RF,Arb 2,"$6,750,000",8.13,
Kansas City Royals,Carlos Santana,35,1B,Vet,"$7,000,000",7.92,Dominican Republic
Kansas City Royals,Andrew Benintendi,26,LF,Arb 2,"$6,600,000",4.15,
Kansas City Royals,Greg Holland,35,RP,Vet,"$2,750,000",4.09,
Kansas City Royals,Adalberto Mondesi,25,SS,Arb 1,"$2,525,000",2.76,Dominican Republic
Kansas City Royals,Hunter Dozier,29,3B,Arb 1,"$2,250,000",2.73,
Kansas City Royals,Michael Taylor,30,CF,Vet,"$1,750,000",2.18,
Kansas City Royals,Hanser Alberto,28,2B,Arb 2,"$1,650,000",1.80,Dominican Republic
Kansas City Royals,Ervin Santana,38,RP,Vet,"$1,500,000",1.64,Dominican Republic
Kansas City Royals,Scott Barlow,28,RP/CL,Pre-Arb,"$650,000",0.71,
Kansas City Royals,Cameron Gallagher,28,C,Pre-Arb,"$604,000",0.66,
