Team,Active Players,Age,Pos.,Status,Base Salary,Payroll %,Country
Arizona Diamondbacks,Eduardo Escobar,30,3B,Vet,"$6,000,000",5.19,Venezuela
Arizona Diamondbacks,Robbie Ray,27,SP,Arb 2,"$6,050,000",5.09,
Arizona Diamondbacks,Taijuan Walker,26,SP,Arb 3,"$5,025,000",4.23,
Arizona Diamondbacks,Jake Lamb,28,1B,Arb 2,"$4,825,000",4.06,
Arizona Diamondbacks,Adam Jones,33,CF,Vet,"$3,000,000",3.78,United States
Arizona Diamondbacks,Alex Avila,32,C,Vet,"$4,250,000",3.57,
Arizona Diamondbacks,Jarrod Dyson,34,CF,Vet,"$3,500,000",3.36,
Arizona Diamondbacks,Wilmer Flores,27,2B,Arb 3,"$3,750,000",3.15,Venezuela
Arizona Diamondbacks,Nick Ahmed,29,SS,Arb 2,"$3,662,500",3.08,
Arizona Diamondbacks,Yoshihisa Hirano,35,RP/CL,Pre-Arb,"$3,000,000",2.94,Japan
Arizona Diamondbacks,Mike Leake,31,SP,Vet,"$16,000,000",2.52,
Arizona Diamondbacks,Merrill Kelly,30,RP,Pre-Arb,"$2,000,000",1.68,
Arizona Diamondbacks,Ketel Marte,25,2B,Arb 1,"$2,000,000",1.68,Dominican Republic
Arizona Diamondbacks,Andrew Chafin,29,RP,Arb 2,"$1,945,000",1.64,
Arizona Diamondbacks,Archie Bradley,26,CL,Arb 1,"$1,830,000",1.54,
Arizona Diamondbacks,T.J. McFarland,30,RP,Arb 3,"$1,400,000",1.18,
Arizona Diamondbacks,Matt Andriese,29,RP,Arb 1,"$920,000",0.77,
Arizona Diamondbacks,Luke Weaver,25,SP,Pre-Arb,"$581,300",0.49,
Arizona Diamondbacks,Carson Kelly,24,C,Pre-Arb,"$560,000",0.47,
Arizona Diamondbacks,Christian Walker,28,1B,Pre-Arb,"$559,800",0.47,
Arizona Diamondbacks,Yoan Lopez,26,RP,Pre-Arb,"$556,900",0.47,Cuba
Arizona Diamondbacks,Caleb Joseph,33,C,Arb 3,"$1,100,000",0.40,
Arizona Diamondbacks,Ildemaro Vargas,27,2B,Pre-Arb,"$555,000",0.35,Venezuela
Arizona Diamondbacks,Tim Locastro,26,SS,Pre-Arb,"$555,000",0.32,
Arizona Diamondbacks,Taylor Clarke,26,RP,Pre-Arb,"$555,000",0.30,
Arizona Diamondbacks,Jon Duplantier,24,P,Pre-Arb,"$555,000",0.24,
Arizona Diamondbacks,Alex Young,25,SP,Pre-Arb,"$555,000",0.24,
Arizona Diamondbacks,Stefan Crichton,27,RP,Pre-Arb,"$555,000",0.19,
Arizona Diamondbacks,Kevin Cron,26,1B,Pre-Arb,"$555,000",0.18,
Arizona Diamondbacks,Zac Gallen,23,SP,Pre-Arb,"$555,000",0.15,
Arizona Diamondbacks,Kevin Ginkel,25,P,Pre-Arb,"$555,000",0.14,
Arizona Diamondbacks,Josh Rojas,25,2B,Pre-Arb,"$555,000",0.12,
Arizona Diamondbacks,Domingo Leyba,23,SS,Pre-Arb,"$555,000",0.11,Dominican Republic
Arizona Diamondbacks,Jimmie Sherfy,27,RP,Pre-Arb,"$555,000",0.10,
Arizona Diamondbacks,Robby Scott,29,RP,Pre-Arb,"$555,000",0.09,
Arizona Diamondbacks,Abraham Almonte,30,CF,Pre-Arb,"$555,000",0.07,Dominican Republic
Atlanta Braves,Josh Donaldson,33,3B,Vet,"$23,000,000",15.98,
Atlanta Braves,Freddie Freeman,29,1B,Vet,"$21,000,000",14.87,
Atlanta Braves,Dallas Keuchel,31,SP,Vet,"$21,210,000",9.03,
Atlanta Braves,Julio Teheran,28,SP,Vet,"$11,000,000",7.76,Colombia
Atlanta Braves,Darren O'Day,36,RP,Vet,"$9,000,000",6.25,
Atlanta Braves,Mike Foltynewicz,27,SP,Arb 2,"$5,475,000",3.80,
Atlanta Braves,Mark Melancon,34,RP/CL,Vet,"$14,000,000",3.19,
Atlanta Braves,Tyler Flowers,33,C,Vet,"$4,000,000",2.78,
Atlanta Braves,Nick Markakis,35,RF,Vet,"$4,000,000",2.78,
Atlanta Braves,Anthony Swarzak,33,RP,Vet,"$8,000,000",2.58,United States
Atlanta Braves,Adam Duvall,30,RF,Arb 1,"$2,875,000",2.00,
Atlanta Braves,Brian McCann,35,C,Vet,"$2,000,000",1.39,
Atlanta Braves,Shane Greene,30,RP,Arb 2,"$4,000,000",0.91,
Atlanta Braves,Jerry Blevins,35,RP,Vet,"$1,500,000",0.85,
Atlanta Braves,Ronald Acuna Jr.,21,LF,Pre-Arb,"$1,000,000",0.69,Venezuela
Atlanta Braves,Ozzie Albies,22,2B,Pre-Arb,"$1,000,000",0.69,Curacao
Atlanta Braves,Matt Joyce,34,LF,Vet,"$1,000,000",0.69,
Atlanta Braves,Josh Tomlin,34,RP,Vet,"$1,000,000",0.69,
Atlanta Braves,Billy Hamilton,28,CF,Vet,"$4,250,000",0.67,
Atlanta Braves,Chris Martin,33,RP,Pre-Arb,"$2,250,000",0.52,
Atlanta Braves,Luke Jackson,27,RP,Pre-Arb,"$585,000",0.41,
Atlanta Braves,Dansby Swanson,25,SS,Pre-Arb,"$585,000",0.41,
Atlanta Braves,Max Fried,25,SP,Pre-Arb,"$565,000",0.39,
Atlanta Braves,Sean Newcomb,26,RP,Pre-Arb,"$575,000",0.36,
Atlanta Braves,Michael Soroka,21,SP,Pre-Arb,"$555,000",0.34,
Atlanta Braves,Austin Riley,22,3B,Pre-Arb,"$555,000",0.29,
Atlanta Braves,Chad Sobotka,25,RP,Pre-Arb,"$565,000",0.26,
Atlanta Braves,Grant Dayton,31,RP,Pre-Arb,"$585,000",0.23,
Atlanta Braves,John Ryan Murphy,28,C,Arb 1,"$900,000",0.19,
Atlanta Braves,Touki Toussaint,23,RP,Pre-Arb,"$555,000",0.19,
Atlanta Braves,Adeiny Hechavarria,30,SS,Vet,"$1,000,000",0.17,Cuba
Atlanta Braves,Rafael Ortega,28,LF,Pre-Arb,"$555,000",0.10,Venezuela
Atlanta Braves,Kyle Wright,23,SP,Pre-Arb,"$565,000",0.09,
Atlanta Braves,Bryse Wilson,21,SP,Pre-Arb,"$565,000",0.09,
Atlanta Braves,Jeremy Walker,24,P,Pre-Arb,"$555,000",0.08,
Atlanta Braves,Francisco Cervelli,33,C,Vet,"$555,000",0.08,Venezuela
Baltimore Orioles,Chris Davis,33,1B,Vet,"$17,000,000",28.73,
Baltimore Orioles,Mark Trumbo,33,DH,Vet,"$13,500,000",15.00,
Baltimore Orioles,Jonathan Villar,28,2B,Arb 2,"$4,825,000",6.58,Dominican Republic
Baltimore Orioles,Dylan Bundy,26,SP,Arb 1,"$2,800,000",3.82,
Baltimore Orioles,Mychal Givens,29,RP,Arb 1,"$2,150,000",2.93,
Baltimore Orioles,Hanser Alberto,26,SS,Pre-Arb,"$578,000",0.79,Dominican Republic
Baltimore Orioles,Trey Mancini,27,LF,Pre-Arb,"$575,500",0.78,
Baltimore Orioles,Richard Bleier,32,RP,Pre-Arb,"$572,500",0.78,
Baltimore Orioles,Miguel Castro,24,RP,Pre-Arb,"$569,000",0.78,Dominican Republic
Baltimore Orioles,Pedro Severino,25,C,Pre-Arb,"$563,500",0.77,Dominican Republic
Baltimore Orioles,Renato Nunez,25,3B,Pre-Arb,"$562,000",0.77,Venezuela
Baltimore Orioles,John Means,26,RP,Pre-Arb,"$555,500",0.76,
Baltimore Orioles,Richie Martin,24,SS,Pre-Arb,"$555,000",0.76,
Baltimore Orioles,Paul Fry,26,RP,Pre-Arb,"$559,000",0.74,
Baltimore Orioles,Rio Ruiz,25,3B,Pre-Arb,"$558,500",0.70,United States
Baltimore Orioles,Gabriel Ynoa,26,SP,Pre-Arb,"$555,000",0.66,Dominican Republic
Baltimore Orioles,Steve Wilkerson,27,2B,Pre-Arb,"$555,000",0.64,
Baltimore Orioles,Shawn Armstrong,28,RP,Pre-Arb,"$559,100",0.64,
Baltimore Orioles,Dwight Smith Jr.,26,RF,Pre-Arb,"$560,100",0.61,
Baltimore Orioles,David Hess,25,RP,Pre-Arb,"$563,500",0.50,
Baltimore Orioles,Chance Sisco,24,C,Pre-Arb,"$555,000",0.48,
Baltimore Orioles,Anthony Santander,24,OF,Pre-Arb,"$555,000",0.47,Venezuela
Baltimore Orioles,D.J. Stewart,25,RF,Pre-Arb,"$555,000",0.42,
Baltimore Orioles,Branden Kline,27,RP,Pre-Arb,"$555,000",0.38,
Baltimore Orioles,Asher Wojciechowski,30,SP,Pre-Arb,"$555,000",0.37,
Baltimore Orioles,Austin Wynns,28,C,Pre-Arb,"$558,000",0.34,
Baltimore Orioles,Aaron Brooks,29,SP,Pre-Arb,"$560,000",0.34,
Baltimore Orioles,Evan Phillips,24,RP,Pre-Arb,"$555,000",0.29,
Baltimore Orioles,Tanner Scott,24,RP/CL,Pre-Arb,"$555,000",0.26,
Baltimore Orioles,Dillon Tate,25,RP,Pre-Arb,"$555,000",0.19,
Baltimore Orioles,Hunter Harvey,24,RP,Pre-Arb,"$555,000",0.18,
Baltimore Orioles,Ryan Eades,27,P,Pre-Arb,"$555,000",0.17,
Baltimore Orioles,Tayler Scott,27,SP,Pre-Arb,"$555,000",0.13,South Africa
Baltimore Orioles,Mason Williams,27,LF,Arb 1,"$555,000",0.11,United States
Baltimore Orioles,Austin Hays,23,RF,Pre-Arb,"$555,000",0.09,
Baltimore Orioles,Eric Hanhold,25,P,Pre-Arb,"$555,000",0.05,
Boston Red Sox,David Price,33,SP,Vet,"$31,000,000",13.53,
Boston Red Sox,J.D. Martinez,31,DH,Vet,"$23,750,000",10.36,
Boston Red Sox,Rick Porcello,30,SP,Vet,"$21,000,000",9.22,
Boston Red Sox,Mookie Betts,26,RF,Arb 2,"$20,000,000",8.77,
Boston Red Sox,Nathan Eovaldi,29,SP,Vet,"$17,000,000",7.42,
